idx,g_low_density,A_star,F_star,K_star,R_P,mu_S,mu_I,T,R_B,sigma_A,sigma_F,beta,delta,eta,mu_F,c_B,kappa,phi,K0
67,0.5339383050659813,1.5471348091544712e-09,4.047675562779407e-11,1.0811925026140123e-12,,0.01906056879300784,0.03336907377315481,63.819909448764605,13.078235777245592,0.5152738787663821,0.43087345340965144,0.01689160371291455,0.24464506231443445,0.4757929261680539,0.03457362201898194,0.020260720576976365,700000000000.0,0.05758320311235201,1.877209635495981
68,0.6271094368206082,4.13502047386086e-11,1.2319212631389126e-20,1.8290051905580623e-09,,0.029971764370593897,0.029220466712595452,47.46243365912344,11.99061216675379,0.6144177511776936,0.5214912877656611,0.011908689430543185,0.17931337930830388,0.9747014282127541,0.027741292523138405,0.021336789516046516,700000000000.0,0.07095272350512188,1.623080808938411
69,0.5493197079102774,2.7939079632769233e-11,5.170613479676047e-18,2.384126627871217e-10,,0.022495072808229877,0.013124635541175777,45.059185337332096,6.044681290327035,0.6408840100422601,0.6274818721117079,0.008875296808198317,0.20214490846189154,0.6757492211659473,0.0500935958968229,0.02035384053403564,700000000000.0,0.09348274124001989,2.1473000618898506
70,1.1785032228239245,0.3281567037087577,-1.0507587069813922e-20,1.5109933931992923,0.19529484598145505,0.02549436918817245,0.040774224476308685,46.4660384713218,15.299732230556003,0.664491808116539,0.6517065546374174,0.032944020909324884,0.21522864079988135,0.5501075341245565,0.05084948252678599,0.020225300736324458,0.008366392186007938,0.0857321720994305,1.5996729255884228
71,0.48076304796887404,8.724462818854306e-10,3.586830775662969e-17,1.0622759405965555e-12,,0.025093749464856912,0.012452162260517277,63.19840842421622,13.11435548174844,0.7445366177757816,0.438948222578518,0.02757192705712944,0.20484540990841255,0.5150787858620645,0.05644350025655204,0.022267067013932784,700000000000.0,0.08721440902428408,2.4100044458677448
72,0.5484597751734757,6.129848488320829e-12,3.790822840401327e-15,6.02963497618425e-11,,0.013681371641392045,0.02223425494764272,53.47300271478478,6.610228040373886,0.5438567402283394,0.6054384086682378,0.017291051946705716,0.240317099277766,0.8596777278194603,0.06264936872771754,0.021087756507630947,700000000000.0,0.055626966021515144,2.194372344689069
73,0.3702044691566869,3.32597394070433e-10,-1.8886721332638734e-21,1.0805422671454486e-12,,0.028519081022978735,0.023281564453679484,61.98239038999412,11.20081992649352,0.7209984178530489,0.38231095516705715,0.02879277899034211,0.1007605055650332,0.43629071721955587,0.03704674089874299,0.02089023729228716,700000000000.0,0.08208040090566332,2.356976058776978
74,0.6554240074360009,1.3013880528767174e-09,1.3378665903486414e-18,1.1559636531143356e-12,,0.02581293067696521,0.04280920994691669,47.18806509372174,8.574305155343087,0.6883541323910054,0.6002807156449874,0.03642091643588364,0.05576609985529728,0.9834685885388871,0.06999337322363014,0.02020893863972431,700000000000.0,0.055488519080355465,1.871026154830154
75,1.5276014810347966,0.9127921208158278,7.704156257443246e-21,1.574319581683595,0.05057595556758363,0.006796836954819243,0.013337949335424867,55.11696259295636,7.84375641555917,0.8867280168033671,0.4775881887097475,0.009028257803505173,0.09269776113612568,0.586837684945733,0.052385077008784836,0.020174372328825668,0.005131185210979451,0.08319471702614,1.6643815848626906
76,0.5525917555383139,8.349661573132097e-12,-1.3797668184794222e-15,4.349329578728434e-09,,0.026800586407770745,0.03288976004054484,64.24958210463885,15.25163276717175,0.7930963124088225,0.4351036098860225,0.024577556113441257,0.16221776514274272,0.8530484729783294,0.02683796858073942,0.020904251252879404,700000000000.0,0.011283350761538925,2.245379372763031
77,0.6637643618150765,1.6949164294288721e-09,9.491918596228328e-19,1.085258817597844e-12,,0.01788015043739341,0.020452407015639558,60.18732218153811,7.814077539698589,0.8930452728840272,0.4661311664506145,0.01143745809805672,0.0831980853565775,0.7908297083524318,0.04031018508226196,0.02075294015158577,700000000000.0,0.09181701311764393,1.7170118307061586
78,0.9128299362955633,7.715200501051142e-05,3.149536426084547e-107,0.005275015909805563,0.10066876462857441,0.014359385573115935,0.04957707486746259,49.4992197513655,6.853365068920617,0.7563091545722622,0.46049305601278856,0.014726620278750092,0.17416520845521025,0.42042616607900274,0.030718100361453983,0.02021350079639707,19313.58349366813,0.024734716685551668,1.9257180562675877
79,2.0199141774532685,2.7396060748101103,0.1714750629112484,2.322493689461915,2917.732466373871,0.006405993495582151,0.030429943294360565,61.115399972948346,15.926924738765656,0.7083657779357213,0.6782587106434793,0.039573081228835065,0.19866811017698133,0.9335771859336517,0.026678554928628265,0.021440848237709212,0.0011374076216172672,0.04909688479779444,2.4022669077619754
