scenario,year,A_t,F_t,K_t,S0,B_t,D_T,S_T,I_T,F_T,A_next,F_next,K_next,J_year,J_cum,uB,uP_mean,uC_mean,uP_max,uC_max
C (uP + uB + uC),14,0.0007179683616905113,4.581763934678131e-16,1.71232679642807,0.006841218306329147,1.35,0.00036320086621591176,0.0009155428686223822,1.350112039885796e-20,9.843064063036337e-17,0.0007148549015535861,3.569589297073637e-17,1.7123269388366953,0.2749614453620999,8.255625430578668,0.7,0.0,0.007936515071179756,0.0,0.02699820244657279
C (uP + uB + uC),15,0.0007148549015535861,3.569589297073637e-17,1.7123269388366953,0.0068115638354823566,1.35,0.0003619128515227144,0.0009127690058142108,1.0486595427114001e-21,7.668539431590128e-18,0.0007126890724126282,2.7809974723203443e-18,1.7123270377741522,0.27484409379144165,8.53046952437011,0.7,0.0,0.007910210268735885,0.0,0.026900519133153084
C (uP + uB + uC),16,0.0007126890724126282,2.7809974723203443e-18,1.7123270377741522,0.006790935109807958,1.35,0.0003610158416692756,0.0009108354662673682,8.152555957759897e-23,5.974379013866502e-19,0.0007111793667835647,2.16660983287156e-19,1.7123271066769978,0.27476240869192214,8.805231933062032,0.7,0.0,0.007891883633286806,0.0,0.02683249622164984
C (uP + uB + uC),17,0.0007111793667835647,2.16660983287156e-19,1.7123271066769978,0.006776555688316829,1.35,0.0003603900807938734,0.0009094857896937454,6.3420317578102226e-24,4.654481753536964e-20,0.0007101255407452297,1.6879488078557622e-20,1.7123271547441474,0.2747054448431707,9.079937377905203,0.7,0.0,0.007879094527211436,0.0,0.026785046745322172
C (uP + uB + uC),18,0.0007101255407452297,1.6879488078557622e-20,1.7123271547441474,0.006766518346487015,1.35,0.00035995302704838766,0.0009085426840446413,4.935775071255642e-25,3.626175404340263e-21,0.0007093891648538861,1.3150332894055948e-21,1.7123271883159619,0.27466567516178436,9.354603053066988,0.7,0.0,0.007870161584768587,0.0,0.026751909653359184
C (uP + uB + uC),19,0.0007093891648538861,1.3150332894055948e-21,1.7123271883159619,0.006759504604187718,1.35,0.0003596475137016548,0.0009078832280289134,3.8425256222603474e-26,2.8250460050693624e-22,0.0007088742622956788,1.0245035406510901e-22,1.7123272117836426,0.2746378763394638,9.629240929406452,0.7,0.0,0.007863916085623842,0.0,0.0267287459039468
C (uP + uB + uC),20,0.0007088742622956788,1.0245035406510901e-22,1.7123272117836426,0.006754600320203137,1.35,0.0003594338312741783,0.0009074219068367837,2.992073452747322e-27,2.200907095008351e-23,0.0007085140631977593,7.981594308319232e-24,1.7123272281974293,0.2746184374735291,9.903859366879981,0.7,0.0,0.007859546942704125,0.0,0.026712544910134466
C (uP + uB + uC),21,0.0007085140631977593,7.981594308319232e-24,1.7123272281974293,0.006751169535986806,1.35,0.0003592843167552411,0.0009070990461255118,2.33020180441615e-28,1.7146580582829418e-24,0.000708261973896557,6.21821113201187e-25,1.7123272396822273,0.274604838036833,10.178464204916814,0.7,0.0,0.007856490499434236,0.0,0.026701209157328702
C (uP + uB + uC),22,0.000708261973896557,6.21821113201187e-25,1.7123272396822273,0.006748768463052955,1.35,0.00035917966567467423,0.0009068730490609114,1.8149342097124883e-29,1.3358358030229098e-25,0.0007080855156280224,4.8444114094767154e-26,1.7123272477208882,0.2745953194753327,10.453059524392147,0.7,0.0,0.007854350727344217,0.0,0.02669327490291723
C (uP + uB + uC),23,0.0007080855156280224,4.8444114094767154e-26,1.7123272477208882,0.006747087751985449,1.35,0.0003591064063382573,0.0009067148367066578,1.4137105365289773e-30,1.040706942197567e-26,0.0007079619835894902,3.774125961659865e-27,1.7123272533482259,0.2745886546314824,10.72764817902363,0.7,0.0,0.007852852557575864,0.0,0.026687720463095026
C (uP + uB + uC),24,0.0007079619835894902,3.774125961659865e-27,1.7123272533482259,0.006745911146874013,1.35,0.00035905511760903877,0.0009066040735855288,1.1012418060721426e-31,8.107812496794266e-28,0.0007078754998618964,2.9402999437869103e-28,1.7123272572879147,0.27458398663378164,11.002232165657412,0.7,0.0,0.007851803463356618,0.0,0.02668383157299592
C (uP + uB + uC),25,0.0007078754998618964,2.9402999437869103e-28,1.7123272572879147,0.006745087415560033,1.35,0.00035901920867129506,0.0009065265176255434,8.57868451203129e-33,6.316534205068683e-29,0.0007078149442505314,2.290692486467206e-29,1.7123272600462214,0.27458071958945207,11.276812885246864,0.7,0.0,0.007851069073625785,0.0,0.026681108877810097
