idx,R_P,Dmean,beta,h,a_B,mu_S,mu_I,delta,eta,mu_F,R_B,sigma_A,sigma_F,phi,T,K0,c_B,kappa
73,4.44321251574452,0.4267720872690107,0.03409806812952706,0.004399234650450449,0.005909854079307173,0.01219796751325309,0.013792098547845792,0.1113748011650151,0.5850801376777576,0.06807625704283943,15.082413740346903,0.8222603712576875,0.6604020600182059,0.03003644821137657,49.532255871689294,2.358691639060554,0.021681933274691194,0.0013419729717205815
74,0.034282731031927215,50859966554749.95,0.008765304431285195,0.008527559651051867,0.0020651092050340903,0.021475900025811737,0.02766116462950916,0.1331302265129492,0.4722269824577632,0.05158208893278103,8.413322846849026,0.7120055453448376,0.6890263123063284,0.07977091437944775,58.17208592525412,1.9355673659273749,0.020269035044736917,700000000000.0
75,0.14174120624894845,0.6710092655388048,0.010166573591948915,0.003195559111170871,0.006879106366396607,0.0179554357482023,0.04419667230872774,0.08345375046480169,0.9645029144637538,0.053835700651135465,13.77499916393274,0.8932096213483187,0.5991454063242443,0.07074001805886578,52.1606012767449,2.015130429972863,0.021527624989289534,0.002947409653758767
76,0.039682906325194785,48507371.10915207,0.01940765653611754,0.0036294091387510407,0.0037191785386286634,0.014935185053377858,0.045553794629609144,0.10944713406513355,0.79302356519733,0.04817607117619592,13.873305765922554,0.5439822065825939,0.6698701144571096,0.08257337286797166,58.663244250548395,2.4022862042679494,0.020991611876196754,350844.4908649241
77,0.006481194954668303,79944050034628.97,0.010556340098137978,0.0038516215831672423,0.006673303787227714,0.024882447961466825,0.0136639702321999,0.23456293492768054,0.9520910357058494,0.07528994851260981,14.627452049728348,0.5544029504637634,0.4146786023889011,0.06603109429037725,55.2344510362224,1.8141881072464618,0.021416713007357643,700000000000.0
78,0.032764480311019605,35841018935526.805,0.03788555293630209,0.0021847664704995056,0.007830048861022244,0.017430570153115808,0.029275720444087154,0.20342978285078944,0.5608301384841682,0.04422323661207225,8.986059052161488,0.8232137223009891,0.39166190250382615,0.07648335572244475,56.10294864380271,1.8056991581213033,0.02101641045337761,461043946408.9008
79,0.5160106481333876,0.693193223047151,0.020882407386131216,0.007619762078414838,0.003477838012297337,0.014451064265073935,0.03871676977976708,0.18817865481685792,0.892785352897813,0.06446209272743919,12.494288699632964,0.7758777496729425,0.4605398759372832,0.012606477774547806,45.13809912044156,1.6888942407223446,0.020587101687166775,0.002859751766977343
80,0.12971124263675574,0.6672696201792768,0.00573550879462462,0.0030832773861396013,0.0007985989225797313,0.01083312737338496,0.009010993478577839,0.18636068348627105,0.8382266342666392,0.03691006920689807,6.104256344096416,0.883814218938591,0.6430943236520043,0.07680536959657694,49.16352244306053,2.070874432651439,0.02008076165989673,0.014337499996728793
81,0.6520601675363341,0.6955790224750013,0.01296595224081918,0.0015324485519500994,0.0014675126060498193,0.004284241403175234,0.04362507264820896,0.09070945062213595,0.5822256760636396,0.029114037630878505,14.92092621616609,0.8529031584822359,0.3522387883940449,0.023350252993796478,45.999604818314246,1.7495467245365646,0.020306473660722604,0.0012830170158717002
82,0.09769179338795071,0.6880751502361743,0.011433540020113382,0.005409984300612737,0.0004712329851007563,0.01106276331359764,0.030616332613042356,0.11811844032531482,0.43815658298874904,0.07801765695575072,12.989370828177334,0.8553251923035587,0.6690996305558221,0.06707222700092008,46.374111183089035,2.3296399889629322,0.020114078183534497,0.001564464024342466
